State,Population,CostIndex,Debt,Growth,EmploymentRate,AirQualityIndex,RegistrationCost,CostRank,GroceryCost,HousingCost,UtilitiesCost,TransportationCost,MiscCost,HomicideRate,FirearmDeathRate,FirearmDeaths,PerCapita,EducationRank,HigherEducationRank,PreK12Rank,White,Black,Hispanic,Asian,MultiRaces,TotalHomeless,TotalHouseholds,TotalVeterans,TotalYoungAdults,Population2018,Population2010,GrowthSince2010,Density,OutdoorRecreation,Retail,IndoorRecreation,Food,TaxRank,IncomeTax,SalesTax,PropertyTax,AverageACTScore,MeetingEnglish,MeetingReading,MeetingMath,MeetingScience
Kentucky,4499692,90.9,14403514.0,0.006999999999999999,0.9570000000000001,46.1,25.0,16,89.9,77.4,97.6,92.8,89.2,5.9,17.5,772.0,3201.0,38.0,43.0,32.0,0.85,0.08,0.04,0.01,0.02,4079,313,447,211,4468402,4348200,0.0348,113.9566,1973149,528650,301065,244352,33,6.0,6.0,925,20.2,59,43,33,32
Louisiana,4645184,93.9,18092508.0,-0.0032,0.951,40.4,20.0,20,99.9,86.6,89.3,98.5,98.8,12.4,21.3,987.0,3895.0,48.0,49.0,46.0,0.59,0.32,0.05,0.02,0.02,2941,170,360,188,4659978,4544532,0.0221,107.5175,2588692,613824,322617,285247,25,6.0,4.0,555,19.2,53,35,24,25
Maine,1345790,117.5,4750384.0,0.0055,0.971,36.5,35.0,40,107.0,123.1,116.1,121.4,121.8,1.7,8.3,123.0,3530.0,28.0,34.0,17.0,0.93,0.01,0.02,0.01,0.02,2106,283,116,125,1338404,1327632,0.0137,43.6336,1373098,313821,182207,478538,43,7.95,5.5,1424,24.0,84,69,64,56
Maryland,6083116,129.7,28027363.0,0.0067,0.965,47.0,135.0,44,108.5,184.5,107.3,116.7,89.2,9.0,11.9,707.0,4607.0,13.0,17.0,11.0,0.5,0.29,0.1,0.06,0.03,6561,603,490,290,6042718,5788642,0.0509,626.6731,3746066,935491,601959,633175,32,5.75,6.0,1125,22.5,69,57,50,47
Massachusetts,6976597,131.6,77043165.0,0.0108,0.972,41.4,60.0,46,113.9,170.3,109.7,116.0,117.6,2.5,3.4,242.0,11043.0,1.0,27.0,1.0,0.71,0.07,0.12,0.07,0.03,18471,3766,917,480,6902149,6566431,0.0625,894.4355,4907443,1056129,958112,693052,30,5.2,6.25,1294,25.5,88,74,74,66
Michigan,10045029,88.9,33463604.0,0.0049,0.961,42.5,35.0,7,89.3,75.2,97.3,97.4,93.0,5.7,12.3,1230.0,3331.0,37.0,42.0,29.0,0.75,0.14,0.05,0.03,0.03,8575,1022,599,489,9995915,9877535,0.017,177.6655,4755614,1363076,827337,600975,16,4.25,6.0,1729,24.4,84,67,65,60
Minnesota,5700671,101.6,16363418.0,0.0159,0.9670000000000001,38.3,25.0,31,106.7,88.3,96.8,103.7,108.6,2.0,7.6,432.0,2870.0,17.0,20.0,12.0,0.8,0.06,0.05,0.05,0.03,7977,1028,297,685,5611179,5310843,0.0734,71.5922,4505794,969545,643558,333420,50,9.85,6.88,1224,21.3,60,48,47,42
Mississippi,2989260,86.1,7470178.0,0.0009,0.943,43.7,29.0,1,91.6,70.1,89.1,89.2,91.4,8.2,19.9,587.0,2499.0,46.0,33.0,45.0,0.57,0.38,0.03,0.01,0.01,1184,69,72,56,2986530,2970536,0.0063,63.7056,1119665,376121,88970,167905,31,5.0,7.0,862,18.6,47,29,21,20
Missouri,6169270,87.1,18419751.0,0.006999999999999999,0.9670000000000001,44.0,18.5,4,96.6,70.6,99.6,87.3,95.7,9.8,19.0,1144.0,2986.0,27.0,26.0,21.0,0.8,0.11,0.04,0.02,0.03,6179,707,488,477,6126452,5995976,0.0289,89.7453,3586118,891515,700363,380455,27,6.0,4.23,1026,20.0,56,41,33,32
Montana,1086759,106.9,2795614.0,0.023,0.966,39.6,217.0,34,105.1,111.6,83.9,125.0,98.4,3.9,18.9,194.0,2572.0,26.0,19.0,20.0,0.86,<.01,0.04,0.01,0.03,1357,136,205,82,1062305,990722,0.0969,7.4668,1068201,256506,198144,250047,17,6.9,0.0,892,20.0,52,41,35,32
Nebraska,1952570,90.8,2014523.0,0.0121,0.9690000000000001,37.0,23.8,14,95.5,80.9,90.8,94.3,99.9,2.2,9.1,171.0,1032.0,6.0,7.0,9.0,0.79,0.04,0.11,0.02,0.03,2365,201,175,151,1929268,1829536,0.0672,25.4161,1095738,288977,127509,132343,36,6.84,5.5,1855,20.1,56,40,35,33
Nevada,3139658,108.5,3248814.0,0.0347,0.9620000000000001,42.1,34.0,36,108.3,121.8,89.0,123.5,105.7,9.1,16.8,498.0,1035.0,45.0,18.0,48.0,0.49,0.09,0.29,0.08,0.04,7169,183,674,1285,3034392,2702464,0.1618,28.5993,2239107,556264,294709,385311,8,0.0,6.85,693,17.7,38,27,21,18
New Hampshire,1359711,109.7,7739447.0,0.0109,0.9740000000000001,26.1111,30.0,37,100.4,110.3,119.5,111.4,116.1,1.0,9.3,132.0,5644.0,5.0,37.0,3.0,0.9,0.01,0.04,0.03,0.02,1396,206,113,84,1356458,1316777,0.0414,153.1605,1315354,399670,198070,299392,1,0.0,0.0,2296,25.1,88,73,72,64
New Jersey,8936574,125.1,65874095.0,0.0031,0.965,44.1,59.0,42,109.5,163.1,101.6,111.1,101.7,3.6,5.5,485.0,7371.0,2.0,30.0,2.0,0.55,0.13,0.21,0.1,0.02,8862,993,551,496,8908520,8799624,0.0156,1215.1991,6070879,1523860,1032284,722952,48,8.97,7.0,2530,23.7,79,63,62,53
New Mexico,2096640,87.5,7057656.0,0.0006,0.953,42.1,27.0,5,100.9,77.7,87.9,91.6,100.1,7.1,18.1,383.0,3366.0,49.0,29.0,50.0,0.37,0.02,0.49,0.02,0.02,3241,246,257,216,2095428,2064588,0.0155,17.285,1167986,325587,126951,303237,20,4.9,5.13,830,19.4,48,37,28,27
New York,19440469,139.1,139234923.0,-0.0052,0.96,40.4,48.5,48,114.8,204.4,108.7,116.6,104.8,2.8,4.4,900.0,7162.0,22.0,15.0,25.0,0.55,0.14,0.19,0.09,0.03,92091,15091,1270,2978,19542209,19400080,0.0021,412.5211,14178838,3093606,2314439,1618258,44,8.82,4.0,1812,24.5,83,68,67,62
North Carolina,10611862,94.9,16310177.0,0.022000000000000002,0.963,46.5,36.0,22,96.6,83.1,97.9,93.4,110.6,5.8,13.7,1409.0,1537.0,25.0,12.0,28.0,0.63,0.21,0.1,0.03,0.03,9314,767,907,417,10383620,9574293,0.1084,218.2702,5758490,1411882,1034961,979248,28,5.8,4.75,894,19.1,46,35,31,25
North Dakota,761723,98.8,2885664.0,0.0022,0.976,37.0,49.0,28,108.1,90.3,93.6,104.3,111.7,1.3,11.9,90.0,3788.0,20.0,5.0,35.0,0.84,0.03,0.04,0.02,0.02,557,51,49,72,760077,674710,0.129,11.0393,542894,174464,54058,64121,10,3.22,5.0,894,20.3,57,43,39,34
Ohio,11747694,90.8,33493235.0,0.005,0.958,48.2,34.5,15,98.7,73.6,91.8,96.7,97.6,6.1,12.9,1524.0,2851.0,31.0,38.0,18.0,0.79,0.12,0.04,0.02,0.03,10345,999,676,643,11689442,11539327,0.0181,287.5038,5348251,1365860,1070871,365465,29,5.39,5.75,1641,20.3,55,43,38,35
Oklahoma,3954821,87.0,8457322.0,0.003,0.966,43.5,96.0,3,95.4,71.9,94.1,89.5,93.2,6.2,19.6,766.0,2138.0,39.0,28.0,43.0,0.65,0.07,0.11,0.02,0.07,3944,300,280,322,3943079,3759632,0.0519,57.6547,1793835,526156,272265,188872,21,5.25,4.5,974,19.3,50,39,26,26
Oregon,4301089,134.2,12656643.0,0.0263,0.963,36.1,112.0,47,110.3,181.8,88.0,136.7,113.2,2.5,11.9,513.0,2943.0,36.0,22.0,39.0,0.75,0.02,0.13,0.05,0.04,15876,1147,1438,1590,4190713,3837532,0.1208,44.8086,3583571,860625,374616,633061,41,9.9,0.0,1121,21.3,63,49,43,40
Pennsylvania,12820878,101.7,47519575.0,0.0011,0.955,45.6,37.0,32,106.9,100.8,106.0,109.5,91.9,5.8,12.0,1555.0,3706.0,32.0,50.0,10.0,0.76,0.10,0.08,0.04,0.02,13199,1569,857,737,12807060,12711158,0.0086,286.5449,6826124,1553903,1415369,643184,11,3.07,6.0,1674,23.5,80,64,60,55
Rhode Island,1056161,119.4,8932377.0,-0.0011,0.9675,43.7,45.0,41,106.2,129.4,123.5,124.0,109.3,1.9,4.1,49.0,8457.0,41.0,48.0,36.0,0.72,0.06,0.16,0.03,0.03,1055,111,92,26,1057315,1053938,0.0021,1021.4323,748122,171309,121237,228240,34,5.99,7.0,1723,24.2,85,69,64,58
South Carolina,5210095,95.9,15744638.0,0.0248,0.977,44.8,40.0,23,101.9,85.1,107.6,88.0,94.2,7.8,17.7,891.0,3022.0,43.0,46.0,41.0,0.64,0.26,0.06,0.02,0.02,4172,275,462,216,5084127,4635656,0.1239,173.3174,3466434,869506,358725,1073339,38,7.0,6.0,601,18.3,42,30,24,20
South Dakota,903027,99.8,3527703.0,0.0236,0.968,39.6,36.0,29,107.0,109.8,91.8,89.8,103.0,2.9,13.4,108.0,3907.0,18.0,10.0,23.0,0.82,0.02,0.04,0.01,0.03,995,76,66,66,882235,816165,0.1064,11.9116,615661,176065,59883,138167,4,0.0,4.0,1388,21.9,68,54,49,46
Tennessee,6897576,88.7,6127422.0,0.0188,0.9670000000000001,47.5,29.0,6,93.3,80.2,93.4,89.7,88.5,7.8,17.1,1148.0,888.0,35.0,23.0,38.0,0.74,0.17,0.05,0.02,0.02,7467,558,679,366,6770010,6355301,0.0853,167.2748,3707056,988271,589153,662672,9,0.0,7.0,768,19.6,54,38,28,28
Texas,29472295,91.5,50963262.0,0.0268,0.965,41.0,51.75,18,88.9,85.3,102.3,91.4,96.2,5.0,12.1,3353.0,1729.0,34.0,32.0,33.0,0.41,0.12,0.4,0.05,0.02,25848,1919,1806,1355,28701845,25242679,0.1676,112.8204,14285680,3940372,2286128,1161087,6,0.0,6.25,1993,20.6,56,44,39,35
Utah,3282115,98.4,7453346.0,0.0383,0.977,51.2,100.0,27,98.5,93.6,89.4,108.6,96.0,2.4,12.9,370.0,2271.0,10.0,6.0,22.0,0.78,0.01,0.14,0.02,0.03,2798,260,211,163,3161105,2775334,0.1826,39.943000000000005,2844732,726438,448569,438367,19,5.0,4.7,713,20.4,58,43,36,34
Vermont,628061,114.5,3502960.0,0.0028,0.977,38.5,76.0,39,111.3,126.7,120.2,119.9,101.2,2.2,11.1,78.0,5577.0,8.0,41.0,4.0,0.93,0.01,0.02,0.02,0.02,1089,128,87,105,626299,625880,0.0035,68.1416,612583,175469,56407,205948,46,8.95,6.0,1908,24.1,83,69,63,60
Virginia,8626207,100.7,27825929.0,0.0127,0.9740000000000001,45.0,40.75,30,96.1,108.0,99.2,88.1,97.2,5.3,12.1,1049.0,3226.0,7.0,14.0,8.0,0.62,0.19,0.1,0.07,0.04,5783,652,447,258,8517685,8023680,0.0751,218.4403,4795163,1202353,694592,831889,23,5.75,4.3,858,23.9,80,66,60,57
Washington,7797095,110.7,33427752.0,0.0347,0.9570000000000001,33.5,30.0,38,107.8,117.8,88.7,121.7,118.9,3.1,9.0,686.0,4287.0,4.0,2.0,19.0,0.68,0.04,0.13,0.09,0.05,21577,1751,1585,1911,7535591,6742902,0.1563,117.3272,5850632,1375660,711594,727135,7,0.0,6.5,1125,22.2,65,54,52,47
West Virginia,1778070,91.1,7547010.0,-0.0154,0.05,47.6,51.5,17,92.9,79.6,89.0,93.5,89.1,4.7,17.5,332.0,4244.0,44.0,45.0,42.0,0.92,0.04,0.01,0.01,0.02,1397,79,137,89,1805832,1854214,-0.0411,73.9691,688507,242725,81427,134336,35,6.5,6.0,615,20.3,61,46,30,32
Wisconsin,5851754,97.3,23252381.0,0.0066,0.966,39.5,75.0,25,100.7,91.4,98.9,98.1,115.2,3.2,11.4,664.0,3974.0,14.0,11.0,16.0,0.81,0.06,0.07,0.03,0.02,4538,592,359,200,5813568,5690479,0.0283,108.0497,3889401,830992,634183,376684,40,7.65,5.0,615,20.5,59,42,40,36
Wyoming,567025,89.3,769721.0,-0.0185,0.963,45.0,30.0,10,98.7,72.3,87.3,99.3,94.9,2.6,17.4,101.0,1357.0,16.0,3.0,34.0,0.84,0.00,0.1,0.01,0.02,548,37,51,81,577737,564483,0.0045,5.84,829955,189858,68739,317546,3,0.0,4.0,635,20.0,55,41,33,33
